Formulation Index,Time,predicted release,measured release,predicted is Low,predicted is Medium,predicted is High,crisp label,graded
1,0.0,0.010164025239646435,0.0,1.0,0.0,0.0,Low,False
1,1.88976377952756,0.07873644679784775,0.0626223091976516,1.0,0.0,0.0,Low,False
1,7.18110236220472,0.26182836294174194,0.0567514677103717,1.0,0.0,0.0,Low,False
1,13.9842519685039,0.4406448304653168,0.0587084148727985,0.3561,0.6439,0.0,Medium,True
1,27.9685039370078,0.8373774886131287,0.0587084148727985,0.0,0.0,1.0,High,False
1,48.755905511811,0.9832682609558105,0.0489236790606653,0.0,0.0,1.0,High,False
1,62.7401574803149,0.9946200847625732,0.0450097847358121,0.0,0.0,1.0,High,False
1,69.5433070866141,0.9946200847625732,0.0450097847358121,0.0,0.0,1.0,High,False
1,76.7244094488189,1.027513027191162,0.0469667318982387,0.0,0.0,1.0,High,False
1,107.71653543307,1.045828104019165,0.0821917808219178,0.0,0.0,1.0,High,False
1,143.622047244094,1.0599513053894043,0.0998043052837572,0.0,0.0,1.0,High,False
1,164.031496062992,1.0599513053894043,0.217221135029354,0.0,0.0,1.0,High,False
1,179.905511811023,1.0599513053894043,0.598825831702544,0.0,0.0,1.0,High,False
1,193.889763779527,1.0599513053894043,0.818003913894324,0.0,0.0,1.0,High,False
1,219.968503937007,1.0599513053894043,0.917808219178082,0.0,0.0,1.0,High,False
1,237.732283464566,1.0599513053894043,0.917808219178082,0.0,0.0,1.0,High,False
2,0.0,0.0355309434235096,0.0,1.0,0.0,0.0,Low,False
2,0.991911348769296,0.3894382417201996,0.575135495786455,0.6634,0.3366,0.0,Medium,True
2,2.00354875672644,0.559691846370697,0.698655436995063,0.0,0.6418,0.3582,Medium,True
2,3.04961007189375,0.6193315982818604,0.77915999864625,0.0,0.284,0.716,Medium,True
2,5.03217571664096,0.7085111737251282,0.894484922618731,0.0,0.0,1.0,High,False
2,7.01242064854254,0.7329811453819275,0.945294029482722,0.0,0.0,1.0,High,False
2,9.99830781355006,0.7588937878608704,0.952957216691727,0.0,0.0,1.0,High,False
2,14.0280322772478,0.8031687140464783,0.979297307489617,0.0,0.0,1.0,High,False
2,18.0212055136269,0.8244805335998535,0.989513278828813,0.0,0.0,1.0,High,False
2,20.0356809600015,0.8189722895622253,0.99193068804301,0.0,0.0,1.0,High,False
3,0.0,-0.05977490916848183,0.0,1.0,0.0,0.0,Low,False
3,1.0135713353285,0.14805786311626434,0.177283122132348,1.0,0.0,0.0,Low,False
3,2.02230785222861,0.21188579499721527,0.220158291955345,1.0,0.0,0.0,Low,False
3,2.9982643001842,0.21598085761070251,0.351747545120943,1.0,0.0,0.0,Low,False
3,5.01805804683005,0.3679753839969635,0.502013701875426,0.7921,0.2079,0.0,Medium,True
3,7.03630465157881,0.4785151779651642,0.609269313890916,0.1289,0.8711,0.0,Medium,True
3,10.0301209188088,0.5631498098373413,0.837361542887257,0.0,0.6211,0.3789,Medium,True
3,13.9903206935063,0.6196848154067993,0.930915279476679,0.0,0.2819,0.7181,Medium,True
3,18.0199484608355,0.6408818364143372,0.954567211228382,0.0,0.1547,0.8453,Medium,True
3,20.0350040854215,0.6407318711280823,0.973113574719701,0.0,0.1556,0.8444,Medium,True
4,0.0,-0.05481405928730965,0.0,1.0,0.0,0.0,Low,False
4,0.97440930605851,0.1324012577533722,0.0885787084266049,1.0,0.0,0.0,Low,False
4,1.98275903748434,0.1844077706336975,0.120701242064854,1.0,0.0,0.0,Low,False
4,2.99420305270435,0.2035396546125412,0.238844865181088,1.0,0.0,0.0,Low,False
4,4.97773566113724,0.3196769654750824,0.381051379615438,1.0,0.0,0.0,Low,False
4,6.99743271141452,0.48965418338775635,0.528629377323734,0.0621,0.9379,0.0,Medium,True
4,10.0323449352859,0.5709308385848999,0.899189200949558,0.0,0.5744,0.4256,Medium,True
4,13.9921579245091,0.6284894943237305,0.981990301354232,0.0,0.2291,0.7709,Medium,True
4,18.0566930808913,0.6722083687782288,0.97606764877945,0.0,0.0,1.0,High,False
4,20.0357776563701,0.6720584034919739,0.994618847089197,0.0,0.0,1.0,High,False
5,0.0,-0.06546711176633835,0.0,1.0,0.0,0.0,Low,False
5,1.00941339148008,0.11364621669054031,0.0616922831463062,1.0,0.0,0.0,Low,False
